summary,article,emotion_label,predicted_summary
cristiano ronaldo europe's richest sportsperson forbes,"real madrid footballer cristiano ronaldo has been named europe's richest sportsperson, and the secondhighest paid european celeb, in forbes' list of highestpaid european celebs. the 32yearold striker earned 93 million â¹604 crore, 2 million short of author jk rowling, the richest celebrity on the continent. roger federer, at 64 million, is second among sportspersons, and fifth overall.",sadness,cristiano ronaldo named europe's richest sportsperson in forbes list of highest paid european celebs.
former equifax ceo blames breach on one employee,"richard smith, former equifax ceo has said the data breach at equifax happened because the individual who was ""responsible for communicating in the organisation to apply the patch, did not."" equifax earlier admitted that the breach compromised personal information of 143 million americans, nearly half the population of the us. the breach exposed dates of birth and addresses of customers.",anger,equifax admits breach compromised personal information of 143 million americans.
rupee breaches 72 mark against us dollar to hit new low,"the indian rupee on thursday breached the 72 mark for the first time against the us dollar, continuing its losing streak against the foreign currency for the seventh consecutive session. the rupee has tanked nearly 11.5 on a yeartodate basis, making it the worstperforming currency in asia. the rupee had on wednesday closed at a record low of 71.76.",neutral,indian rupee breached 72 mark for first time against us dollar.
amazon invests â¹590 crore in indian payments arm amazon pay,"ecommerce major amazon has invested â¹590 crore in its indian digital payments arm, amazon pay. filings have revealed that the capital was sourced from the usbased parent amazon.com and singaporebased amazon corporate holdings. it comes two months after amazon invested â¹230 crore in the payments arm and also infused â¹195 crore into the business in march this year.",joy,ecommerce major amazon invests â1590 crore in amazon pay
"who is iim graduate indra nooyi, set to step down as pepsico ceo?","tamil naduborn pepsico ceo indra nooyi, an iim calcutta graduate, on monday announced she is stepping down from the role after 12 years. the 62yearold did her masters from yale university and worked at companies including johnson  johnson, boston consulting group and motorola, before joining pepsico. the company's sales grew 80 under nooyi, who's stepping down on october 3.",sadness,tamil naduborn indra nooyi is stepping down from pepsico after 12 years.
stop silencing victims of sexual assault senator to uber,"following the report of sexual assault cases against uber drivers, us senator richard blumenthal has asked the company to ""immediately"" stop silencing sexual harassment victims by enforcing arbitration agreements. in a letter to uber ceo, he urged the company to end the ""use of these dangerous agreements against your customers"" which also prevents victims from joining classaction suits.",anger,us senator asks uber to stop silencing victims by enforcing arbitration agreements.
bopanna slams media coverage over sindhu's world c'ship silver,"indian tennis player rohan bopanna took to twitter to take a dig at media for their coverage following shuttler pv sindhu's silvermedal finish at the badminton world championships. citing a headline which focussed on sindhu ""settling for silver again"", bopanna wrote, ""while covering news, keep in mind the sentiment of a sportsman who themselves are far from ecstatic to lose.""",anger,indian tennis player rohan bopanna takes to twitter to dig at media for their coverage.
poster of shahid's halfbrother's film unveiled at cannes,"a new poster of beyond the clouds, the debut film of shahid kapoor's halfbrother ishaan khatter, has been unveiled at the 70th cannes film festival. directed by iranian filmmaker majid majidi, the film will also star actress malavika mohanan, who will reportedly play ishaan's sister. set in the slums of mumbai, it is said to revolve around a brothersister relationship.",joy,new poster of beyond the clouds unveiled at 70th cannes film festival.
digvijaya singh mentions nonexistent aus visa in tweet,"congress general secretary digvijaya singh tweeted about australian pm malcolm turnbull's recent visit to india,  wherein he mistakenly mentioned 'visa 457' as 'visa 475'. singh had tweeted that turnbull probably came to india to get advice from pm narendra modi on deporting indians living in australia. recently, australia abolished visa 457, a work visa which is used by many indians.",neutral,digvijaya singh tweeted about australian pm's recent visit to india.
tv show 'ishqbaaaz' producer sanjay bairagi commits suicide,"sanjay bairagi, the 40yearold supervising producer of tv show 'ishqbaaaz', committed suicide on friday by jumping off the 16th floor of a building in mumbai, as per the police. a suicide note has also been recovered where bairagi cited depression and financial issues as the reason for committing suicide. the show stars nakuul mehta and surbhi chandna among others.",sadness,sanjay bairagi committed suicide by jumping off 16th floor of building in mumbai.
china launches quiz show on president xi jinping,"china has launched a game show to teach young people about president xi jinping. the fiveepisode show called 'studying xi in the new era' has taken the evening primetime slot on hunan tv, the country's second most watched channel, which is popular among youth. however, the game show does not offer cash or other prizes.",surprise,china launches game show to teach young people about xi jinping
"srk shares pic with his 'zero' costars anushka, katrina","shah rukh khan took to twitter to share a picture with his costars, anushka sharma and katrina kaif, from the upcoming film 'zero'. he tweeted, ""best memories begin with insane ideas...girls taking me along for a ride called zero."" srk will be seen playing a dwarf in the aanand l rai directorial, which is scheduled to release on december 21.",neutral,"shah rukh shares picture with costars, katrina kaif."
trump renouncing g7 statement is 'depressing' merkel,"german chancellor angela merkel has said us president donald trump's decision to not endorse the g7 statement is ""a bit depressing"". ""sometimes it seems trump thinks that only one side wins and everyone else loses,"" she added. calling the us a less reliable partner, merkel said the eu needs to stand together to increase its influence on the world stage.",sadness,german chancellor angela merkel says eu needs to stand together to increase influence on world stage.
"if govt can't give time, don't give national awards resul","reacting to president ram nath kovind handing over only 11 national awards, oscarwinning sound designer resul pookutty tweeted, ""if the government of india cannot earmark three hours of its time, they shouldn't bother giving us national award."" he added, ""more than 50 of our sweat you take...as entertainment tax, least you could do is respect the values we hold dear!""",sadness,resul pookutty reacts to ram nath kovind handing over only 11 national awards.
unknown dead creature found washed ashore in indonesia,the video of an unidentified dead sea animal found on the shores of seram island in indonesia has surfaced online. the bloodied creature thought to be 15 metres long and 6 to 7 metres wide was suspected of being a giant squid by a local news agency. social media users argued it was the carcass of a whale or elephant.,disgust,unidentified dead sea animal found on seram island in indonesia.
tesla is 'structurally unprofitable' investor chanos,"american investor jim chanos has said that electric carmaker tesla is ""structurally unprofitable"", adding, ""three years ago, this company was supposed to be making money now."" chanos further said, ""now it's tesla supposed to be making money by 2020. and i'm guessing by 2019, we'll hear about 2025."" he said that tesla is now competing against wellfinanced, profitable companies.",sadness,"jim chanos says tesla is ""structurally unprofitable"""
cow dung thrown at national awardwinning director after fb post,"national awardwinning malayali filmmaker priyanandanan was attacked on friday morning after he wrote a facebook post on the sabarimala issue. ""he was beaten up and water mixed with cow dung was flung on him. a probe is on,"" said police. ""i can identify the assailants. i suspect rssbjp workers were behind the attack,"" priyanandan said.",anger,priyanandanan wrote a facebook post on the sabarimala issue
"7 killed, 50 injured in burkina faso attack","at least seven people were killed and nearly 50 others were injured on friday in an attack on the military headquarters in burkina faso's capital ouagadougou, officials said. the french embassy and prime minister's office were also targeted as part of the coordinated attack. there was no immediate claim of responsibility for the attack.",sadness,"at least 7 killed, 50 injured in attack on military headquarters in ouagadougou."
jk youth sent to pak for drug addiction returns as militant,"a kashmiri youth who was sent to pakistan in 2014 to ""study islam"" and cure his drug addiction returned to the valley as a lashkaretaiba militant in 2017. he came in contact with a let recruiter and subsequently received arms training at a military camp, he revealed to intelligence agencies. he was caught during a military operation in kashmir's handwara.",fear,"kashmiri youth sent to pakistan in 2014 to ""study islam"""
marcelo rescues madrid with late winner against valencia,real madrid defender marcelo's 86thminute goal against valencia helped madrid remain in contention for the la liga title alongside barcelona on saturday. cristiano ronaldo's 27thminute header opened the scoring before dani parejo's 82ndminute equaliser. madrid's rivals barcelona cruised to a 30 win over espanyol with uruguayan striker luis suarez scoring a brace and ivan rakitic scoring one.,neutral,real madrid remain in contention for la liga title alongside barcelona on saturday.
us warship strikes islamic state from eastern mediterranean,"the us navy on tuesday said that it has conducted strikes against islamic state targets from an aircraft carrier in the eastern mediterranean sea. the carrier had previously conducted the strikes in support of operation inherent resolve in early march. notably, operation inherent resolve is the usled military operation against isis in iraq and syria that began in august 2014.",anger,us navy conducts strikes against isis targets from aircraft carrier in mediterranean sea.
game of thrones puts women at the forefront gwendoline,"actress gwendoline christie, known for her role as brienne of tarth in the hbo series game of thrones, has said that unlike other shows, got puts women at the forefront. gwendoline added that the series explores female characters in an unconventional way, as ""people in their own right"", and not simply as mothers, sisters, girlfriends or wives.",neutral,gwendoline christie is known for her role as brienne of tarth in the hbo series.
bjp trying to poach aap mlas alka lamba,"aap mla from chandni chowk, alka lamba, has accused bjp of trying to poach aap legislators by offering them tickets in the lok sabha elections or coveted government posts. ""the bjp leader who called me cited an example of shazia ilmi exaap leader who joined bjp saying that she is earning â¹5 lakh after getting a government post,"" she alleged.",neutral,aap mla says bjp trying to poach legislators by offering them tickets in lok sabha elections.
newborn dies a week after hospital wrongly declared him dead,"the newborn who was wrongly declared dead by max hospital a week ago, died on wednesday. this comes after delhi government's probe panel found the hospital guilty of not following the prescribed medical norms in its preliminary report. previously, the infant's father had alleged that the newborn contracted an infection after being wrapped in a plastic bag by the hospital.",sadness,newborn was wrongly declared dead by max hospital a week ago
"i'm 16, not comfortable kissing onscreen tu aashiqui actor","jannat zubair rahmani, who was asked to kiss her costar for the television show 'tu aashiqui', has said, ""i'm just 16. it was an intense kiss and i wouldn't have been comfortable doing it."" ""i have many teenagers following me on social media and if i agree to do something like this, it would set a wrong example,"" she added.",fear,jannat zubair rahmani was asked to kiss costar for 'tu aashiqui'
seal illegal resorts on nilgiris elephant corridor sc to tn,"the supreme court on thursday directed the tamil nadu government to seal 11 resorts and hotels constructed illegally on the elephant corridor of nilgiris within 48 hours. further, the bench asked other resort and hotel owners to produce documents of approval before the collector within 24 hours. expressing displeasure over the constructions, the bench said that elephants are ""national heritage"".",anger,supreme court orders tamil nadu to seal 11 illegal resorts and hotels within 48 hours.
apple could release 5g iphones in 2020 report,"apple is planning to release 5g iphones in 2020, according to a report. the company is planning to use intelâs 8161 5g modem chip in its 2020 iphones, the report further said. the report added that apple has also held talks with another chip maker, mediatek, about potentially supplying the chips.",neutral,"apple is planning to release 5g iphones in 2020, report says."
indigo's june quarter profit falls 97 to â¹28 crore,"india's largest airline indigo's operator interglobe aviation reported its worst performance in at least 3 years as its june quarter profit fell 97 to â¹28 crore. the company had posted a profit of â¹811 crore a year earlier. indigo's fuel costs surged 54.4 to â¹2,716 crore, while forex losses climbed to â¹246 crore in last quarter.n",sadness,indigo's profit fell 97 to â128 crore june quarter
man lost eye after eye cancer was misdiagnosed as migraine,a 58yearold man had to get his right eye removed along with jaw and nose bones in 2009 after his eye cancer was misdiagnosed as migraine. the father of four suffered from headaches and throat infections in 2008. now doctors have created a 'flap' using skin from his back and a leg artery to cover the hole in his face.,sadness,58-year-old had to get right eye removed along with jaw and nose bones in 2009.
"watch fifa wc's song video featuring will smith, ronaldinho","the official video of the 2018 fifa world cup song 'live it up', sung by american actorrapper will smith, singer nicky jam and albanian pop star era istrefi, also features brazil legend ronaldinho. brazilian winger willian can also be seen in the video. smith, jam and istrefi will perform the song live during the world cup final on july 15.",joy,"will smith, nicky jam and era istrefi will perform 'live it up'"
resort housing cong mlas owes â¹998cr to k'taka govt bjp,"karnataka bjp has said the eagleton resort where state congress mlas are staying fearing poaching, owes a â¹998crore fine to karnataka government in a land encroachment case. ""now that congress will spend time in the resort, we request them to collect the money,"" it tweeted. congress had shifted its mlas to resort allegedly after three mlas skipped its party meeting.",neutral,karnataka bjp asks mlas to collect the money.
will consider paradise papers cases on individual merit fm,"days after the paradise papers leak, finance minister arun jaitley said that every case listed in the documents would be considered on its individual merit. he added that the same procedure that followed in the panama papers leak would be undertaken to probe this one. the paradise papers, leaked on sunday, listed offshore holdings of 714 indian individuals and entities.",joy,arun jaitley says every case listed in the documents will be considered on its individual merit.
current gst a mockery and imperfect former finance minister,"former finance minister p chidambaram has said that current gst is ""imperfect"", ""a mockery"", and should have been delayed by two months. ""the aim was that one indirect tax will subsume all other indirect taxes. this gst fails to achieve that,"" he said. he further added that congress will press for the reduction in rates and an 18 cap.",anger,"p chidambaram says current gst is ""imperfect"", ""a mockery"""
aus soldiers slammed for flying nazi flag in afghanistan,"a leaked photo of australian soldiers flying a nazi swastika flag over their vehicle while on operations in afghanistan in 2007 has been criticised by australian pm malcolm turnbull as ""completely and utterly unacceptable"". the australian defence ministry confirmed the picture was authentic and said that the nazi 'parade' was just a ""twisted joke"" rather than an expression of neonazism.",anger,leaked photo of australian soldiers flying nazi swastika flag criticised by pm malcolm turnbull.
government's 'modicare' plan to be implemented from oct 2,"the national health protection scheme, dubbed 'modicare', that aims to provide â¹5 lakh annual cover per family to 10 crore poor families, will be implemented from october 2. announcing the 2018 budget, finance minister arun jaitley had termed the plan as ""the world's largest governmentfunded healthcare programme"". the initiative will reportedly require â¹11,000 crore in state and central funding.",neutral,'modicare' aims to provide â15 lakh annual cover per family to 10 crore poor families.
bengaluru ranked top paying city for professionals in india,"bengaluru has been ranked the toppaying city for professionals in india with an average yearly salary of â¹14.6 lakh, by the randstad salary trends study 2017. it was followed by mumbai and hyderabad with average yearly salaries of â¹14.2 lakh and â¹13.6 lakh respectively. java programmers are the bestpaid professionals in the country, with an average salary of â¹18 lakh.",surprise,bengaluru ranked toppaying city for professionals in india with average salary of â114.6 lakh.
"russia's sistema exits anil ambani's rcom, sells its 10 stake","russian conglomerate sistema has fully sold its 10 stake over the past few months in anil ambaniled reliance communications rcom. sistema had sold its indian mobile telephony business, sistema shyam teleservices, to rcom in return for a 10 stake in october 2017. rcom has since shut its consumer wireless business amid intense competition, and currently operates only an enterprise business.",joy,russian conglomerate sold 10 stake in anil ambaniled reliance communications rcom.
fringe benefits given to employees liable to gst,"the government on monday said gst will be applicable on fringe benefits an employee gets from his employer. ""fringe benefits are a supply of goods or services and are liable to tax if not exempted,"" it clarified. the government added that fringe benefits are ""transactions in furtherance of business and even if supplied without consideration, the same are deemed supply"".",disgust,gst will be applicable on fringe benefits an employee gets from his employer.
indian telescope discovers the most distant radio galaxy,"breaking a 20yearold distance record, a team led by phd student aayush saxena has found a radio galaxy from a time when the universe was only 7 of its current age, at a distance of 12 billion lightyears. the giant metrewave radio telescope gmrt near pune was used to identify the galaxy while the distance was determined using usbased telescopes.",neutral,phd student aayush saxena found galaxy at 12 billion lightyears distance.
comey tried to blend with curtains to avoid trump report,"former fbi director james comey once tried to blend into the curtains in the white house blue room in order to avoid being approached by president donald trump, according to a report. comey reportedly used his blue suit to camouflage himself against the blue room's decor. however, trump spotted comey and called him over for a hug.",neutral,former fbi director used blue suit to camouflage himself against blue room decor.
us mulls shooting down north korean missile tests report,"the us is considering shooting down future north korean missile tests as a show of strength if it conducts its sixth nuclear test, the guardian reported. the potential missile interception is aimed at warning north korea that the us is willing to retaliate with force if it continues nuclear tests. however, north korea warned of ""war"" over us military action.",fear,us considering shooting down future north korean missile tests as a show of strength if it conducts sixth nuclear test.
priest who gave statement against rape accused bishop found dead,"father kuriakose kattuthara, who gave a statement to the police against bishop franco mulakkal in the rape case filed by a kerala nun was found dead in jalandhar on monday. according to police, he vomited over the bed and blood pressure tablets were found at the spot. the deceased's brother alleged he was killed for giving the statement against mulakkal.",disgust,kuriakose kattuthara gave statement against bishop franco mulakkal
passing aadhaar as money bill fraud sc judge chandrachud,"supreme court justice dy chandrachud, the only dissenting judge of the fivejudge bench that decided on aadhaar's validity, said passing of aadhaar bill as money bill is a fraud on constitution. he added, ""bypassing rajya sabha to pass...aadhaar act amounted to subterfuge...the law is liable to be struck down."" lok sabha had rejected rajya sabha's recommendations and passed the bill.",anger,dy chandrachud says passing of aadhaar bill is fraud on constitution.
infiniti unveils concept car inspired by formula one tech,"hong kong automaker infiniti has unveiled project black s concept car, inspired by formula one ""dual hybrid"" system that can recuperate electricity while braking and accelerating. the 3.0litre twinturbo v6 engine generates 298 kw power at 6,400 rpm and 475 nm of torque at 1,6005,200 rpm. further, it can reach 0100 kmph in less than 4 seconds.",neutral,"hong kong automaker unveils project black s concept car inspired by f1 ""dual hybrid"" system."
insurers asked to not reject claims over genetic disorders,"insurance regulator irdai has directed insurers not to reject any existing health insurance claims on grounds of 'genetic disorder' and not include genetic disorders among exemptions in new contracts. the delhi hc earlier held that exemption clause of 'genetic disorders' in the insurance policy was ""too broad, ambiguous and discriminatory"".",neutral,"delhi hc says exemption clause of 'genetic disorders' in insurance policy was ""too broad, ambiguous and discriminatory"""
tcs displaces accenture as largest it firm servicing banks,"tcs has displaced accenture as the world's largest pureplay it firm servicing banking, financial services and insurance bfsi sector. tcs got 2.07 billion in business from the sector in the julyseptember period as compared to accentureâs 2.01 billion in the juneaugust period. tcs ended september quarter with 5.21 billion in revenue while accenture ended with 10.1 billion in august quarter.",neutral,"accenture is world's largest pureplay it firm servicing banking, financial services and insurance bfsi sector."
man stabs himself to death believing his vest was stabproof,"a 22yearold britisher stabbed himself to death believing the vest he wore was stabproof. jordan easton was celebrating with friends when he turned a knife on himself to demonstrate the ""stabproof"" vest. a court ruled that the death was a ""misadventure,"" however, his mother said it was ""hard to believe the concept that jordan would consciously do that"".",anger,jordan easton was celebrating with friends when he turned a knife on himself.
"when i step on court, i'm not a serena fan us open champ","naomi osaka, who defeated her childhood idol serena williams to win us open 2018, said when she steps on the court, she's not a ""serena fan"" but ""just a tennis player playing another tennis player"". ""but...when i hugged her at the net...felt like a little kid again,"" added osaka, the first japanese player to win a grand slam singles title.",neutral,naomi osaka beats childhood idol serena williams to win us open 2018
"obamacare is dead, new healthcare plan on its way trump","us president donald trump on sunday blasted obamacare, calling it ""dead"", and said a new healthcare plan is coming. ""new healthcare...will have much lower premiums and deductibles while at the same time taking care of preexisting conditions!"" trump added. notably, trump's earlier attempt to repeal obamacare collapsed after a vote in the republicancontrolled us congress in march.",sadness,"trump calls obamacare ""dead"""
"uber approaching disney, walmart executives for coo's role","ridehailing app uber is approaching current and former executives of big companies like disney, walmart and cvs heath to hire its first chief operating officer coo, according to the wall street journal. uber says the new hire would be a partner to cofounder and ceo travis kalanick, rather than a subordinate. this comes after kalanick admitted he needed leadership help.",neutral,ridehailing app uber is approaching current and former executives of big companies to hire its first chief operating officer coo.
india beat sl to complete 30 series whitewash,"india defeated sri lanka by 5 wickets to complete a 30 whitewash in the threematch t20i series in mumbai on sunday. rohit sharma hit his 38th six against sl in 2017 across all formats, the most for any batsman against a particular opponent in a year. sl have now lost 23 out of 31 t20is in the last two years.",neutral,india defeated sri lanka by 5 wickets to complete 30 whitewash in t20i series in mumbai.
casino attacker was indebted gambler philippine police,"the philippine police have said that the suspect behind the casino attack that killed over 30 people was a heavily indebted filipino who was addicted to gambling. the suspect had killed himself after being shot and wounded by security officers. the islamic state had earlier claimed responsibility for the attack. however, philippine authorities had dismissed the claim.",neutral,suspect killed himself after being shot and wounded by security officers.
google launches android 8.0 named 'oreo',"google on monday announced 'oreo' as the name for the latest version of the android operating system, continuing the dessertthemed names. it brings features including notification dots on app icons, pictureinpicture mode, and an autofill tool to help quickly and securely enter passwords. android oreo 8.0 will start rolling out to pixel and pixel xl smartphones followed by nexus devices.",neutral,google announced 'oreo' as the name for the latest android operating system.
"adobe achieves pay equality between men, women in us","american software maker adobe announced that it has achieved equal pay for male and female employees in the united states. women are now making 1 for every dollar earned by male employees in the country, up from 99 cents a year ago, the company said. adobe added that it analysed its compensation practices and made adjustments accordingly.",neutral,women are now making 1 for every dollar earned by male employees in the u.s.
only i survived so long and took our music to h'wood bappi,composer bappi lahiri said that he's the only composer who has survived so long and took bollywood music to hollywood. bappi was speaking about his 1984 song 'jhoom jhoom baba' featuring in a video for hollywood film 'guardians of the galaxy vol 2'. bappi added he's probably the first indian composer to have five consecutive songs in five hollywood films.,sadness,bappi lahiri says he's the only composer who has survived so long.
"bsf using stun grenades, chilli spray to stop rohingyas","the border security force is using ""chilli and stun grenades"" to block the entry of rohingyas fleeing from myanmar, officials said. âwe donât want to cause any serious injury or arrest them, but we wonât tolerate rohingyas on indian soil,â an official said. the bsf has reportedly been authorised to use ârude and crudeâ methods to stop any infiltration attempts.",fear,"bsf uses ""chilli and stun grenades"" to block entry of rohingyas."
former zimbabwe president mugabe no longer able to walk,"former zimbabwe president robert mugabe is no longer able to walk, current president emmerson mnangagwa said on saturday. mugabe has been receiving treatment in singapore for the past two months, mnangagwa added. the 94yearold was the world's oldest head of state before he was ousted by the army last year.",neutral,"former zimbabwe president robert mugabe is no longer able to walk, current president says."
us open defending champ loses to 19yearold in first round,"us open women's singles defending champion angelique kerber lost to japan's 19yearold naomi osaka in the first round on tuesday. the 45thranked japanese took 79 minutes to oust the world number six in straight sets. meanwhile, women's singles world number one karolina pliskova advanced to the second round of the tournament after a straight set win over magda linette.",sadness,angelique kerber loses to naomi osaka in first round of us open women's singles.
belated wisdom p chidambaram on gst rate cuts,"reacting to the government cutting gst rates for nearly 100 items, congress leader p chidambaram tweeted, ""belated wisdom. why did government not follow our advice in july 2017?"" adding that the present gst is still ""unreformed"", he said, ""when elections are around the corner, government cuts rates. i suppose that makes a good case for frequent elections in different states!""",neutral,"congress leader p chidambaram says gst is still ""unreformed"""
"48 dead, 350 injured after earthquake, tsunami hit indonesia","at least 48 people have died and 350 injured after a 7.5magnitude earthquake triggered a tsunami at indonesia's sulawesi island on friday, officials said. rescuers are yet to reach hardhit areas after a 1.5metre wave swept away homes, buildings, and bridges. earlier this year, a series of powerful quakes hit lombok island, killing over 550 people and injuring some 1,500.",fear,7.5magnitude earthquake triggered a tsunami at indonesia's sulawesian island.
south african protestors trash hm stores over 'racist' ad,"several stores owned by swedish retailer hm in south africa were trashed by members of antiracism group economic freedom fighters over an advertisement they viewed as racist. the advertisement, which showed a black child in a hooded top which had ""coolest monkey in the jungle"" written on it, faced global backlash. the organisation praised its members for ""physically confronting racism"".",anger,hm in south africa trashed several stores viewed as racist
anirban said deepika padukone became a star thanks to him meira,"actress meira omar, who earlier accused celebrity management agency kwan entertainment's cofounder anirban das blah of sexual harassment, said he used to take credit for deepika padukone's success. ""he said...she became a star thanks to him and...the work...they did together,"" she added. meira further said anirban told her that to become a star, she had to find her ""inner sexiness"".",surprise,meira omar accuses kwan entertainment's cofounder of sexual harassment
2 cops accused in ishrat jahan case forced to resign by sc,"two senior gujarat police officers accused in the encounter killing of 19yearold ishrat jahan said they will resign from their posts after a supreme court order on thursday. this came after a retired ips officer challenged the officers' reappointment by gujarat government after their retirement, despite ""bearing in mind the questionable track record of the two officers"".",anger,a retired ips officer challenged the officers' reappointment by gujarat government.
djokovic signs his own jacket and gives it to emptyhanded fan,"while signing autographs for fans following his australian open 2019 victory, world number one men's tennis player novak djokovic approached a fan who had climbed a partition to get close to him. after realising that the fan didn't have anything for him to sign on, djokovic signed his own jacket, took it off and gave it to the fan.",neutral,novak djokovic signed autographs for fans following australian open victory.
nirbhaya gangrape convicts to file review petition in sc,"after the supreme court upheld death penalty to four convicts in the 2012 nirbhaya gangrape case, the convicts' lawyer said, ""we will file review petition after reading the order."" alleging that the human rights of the convicts have been neglected, he added, ""justice is not done... you cannot give a death sentence to anyone for a message to the nation.""",anger,nirbhaya gangrape case upheld death penalty to four convicts.
wedding guests dance to england's wc chant 'it's coming home',a video of guests at a punjabi wedding in the uk dancing to england's 2018 fifa world cup chant 'it's coming home' has surfaced online. the guests along with the groom and the bride celebrated england's quarterfinal win over sweden by dancing to the popular chant. england will face croatia in the world cup semifinal tonight.,neutral,england will face croatia in the world cup semifinal tonight
south korea foils launch of antikim jongun leaflets,"south korean security forces on saturday foiled an attempt by activists to launch propaganda leaflets against north korean leader kim jongun across the border. the activists, led by north korean defectors, had gathered in the city of paju to release the leaflets into the north. this comes amid efforts by the two nations to restore peace on the korean peninsula.",joy,south korean security forces foiled an attempt to launch propaganda leaflets against kim jongun.
beyoncã wouldn't be as successful with darker skin father,"beyoncã's father mathew knowles has said that his daughter wouldn't have been as successful as she is now, if she had darker skin. he discussed discrimination based on colour in the music industry. mathew said, ""when it comes to black females, who gets their music played on pop radio...mariah carey, rihanna, beyonce and solange...what do they all have in common?""",sadness,beyonc's father says his daughter wouldn't have been as successful if she had darker skin.
no delhi bypolls till next hc hearing over office of profit,the delhi high court on wednesday ordered the election commission to not issue any notification for bypolls for the seats vacated by the 20 disqualified aap mlas till the next hearing in the case on january 29. the legislators were disqualified for holding offices of profit based on the ec's recommendation. they have now challenged the disqualification in court.,neutral,election commission to not issue notification for bypolls for seats vacated by 20 disqualified aap mlas till next hearing.
justin bieber was disrespectful towards his fans hard kaur,"rapper hard kaur has said that canadian singer justin bieber was disrespectful towards his fans during his maiden concert in india. ""i've never seen anyone go up on stage and not give a st about it,"" she added. hard kaur further said that there's a style to lipsyncing but bieber just didn't care.",anger,canadian singer justin bieber was disrespectful during his maiden concert in india
"i had dates, my parents' names on my wedding dress priyanka","talking about her wedding dress, priyanka chopra revealed, ""i wanted something unique. both the dresses  red and white  were personalised for me...i had names, dates, my parents' names...my motherinlaw's wedding dress embroidered on mine."" ""for me, it was not about fashion...i wanted the longest veil in the world...my 75foot long veil...and i got that,"" added the actress.",surprise,priyanka chopra wanted the longest veil in the world.
"us, s korea conduct joint navy drill amid n korea threat","the us and south korea on monday launched a joint naval exercise in the waters off the korean peninsula. this comes amid the renewal of north korea's threat to strike the us territory of guam. the fiveday exercise is aimed at maintaining readiness against north korea's naval provocation and improving capabilities to carry out joint operations, south korean officials said.",fear,us and south launch joint naval exercise in waters off korean peninsula.
ukrainian fans display swastikas intended for uefa official,"ukrainian club dynamo kiev's fans wore outfits of white supremacist group, ku klux klan, and masks bearing swastikas to welcome a visiting uefa inspector in their home match against shakhtar donetsk on friday. earlier, organisers had requested supporters to not cause provocations because the uefa inspector was surveying the venue's readiness to host the 2018 champions league final.",neutral,fans wear ku klux klan and masks bearing swastikas to welcome uefa inspector in shakhtar donetsk.
want to end xxx 4 with b'wood song led by deepika director,"dj caruso, who directed the 'xxx' film franchise, tweeted that he wants to end the upcoming film in the series with a bollywood dance song led by deepika padukone. asking fans for suggestions, caruso added, ""lungi dance?? something new?"" earlier, caruso confirmed that deepika, who starred in 'xxx the return of xander cage', will also star in the fourth instalment.",joy,dj caruso wants to end 'xxx' film with bollywood dance song led by deepika padukone.
"abhishek, most caring male nurse post coolie accident big b","amitabh bachchan shared a picture on instagram wherein he can be seen with a young abhishek bachchan. ""me recovering from my coolie accident at home and a most caring and loving male nurse  abhishek,"" read the caption alongside the picture. amitabh was injured due to a mistimed jump during a fight scene with coactor puneet issar on 'coolie' sets.",neutral,amitabh bachchan is recovering from a coolie accident.
former delhi cm madan lal khurana passes away at 82,"delhi's former chief minister madan lal khurana passed away at the age of 82 in delhi on saturday. khurana, who suffered a brain haemorrhage in 2013, had been keeping unwell for quite some time. the bjp leader served as delhi's cm from 1993 to 1996 and briefly as the governor of rajasthan in 2004.",sadness,madan lal khurana passed away on saturday.
solar system's largest storm to die within 20 years nasa,"jupiter's great red spot, the solar system's largest storm, would die off within 10 to 20 years, a researcher from nasa's jupiterorbiting juno mission has revealed. the storm was estimated to be about 56,000 km in diameter in the 1800s, wide enough for four earths to fit side by side while current estimates lie around 1.3 times earth's size.",sadness,"jupiter's great red spot would die off within 10 to 20 years, nasa researcher says."
swimming pool opens in north america's driest place,"a swimming pool has opened in death valley, which is the hottest and driest spot in north america. the swimming pool is fed by an underground spring and its water is not kept chlorinated to ensure that it can also be used for landscaping and irrigation. it has been built by the oasis resort.",surprise,the swimming pool is fed by an underground spring and its water is not kept chlorinated.
sexual abuse in all shelter homes across bihar tiss report,"sexual abuse in varying forms and degrees was prevalent in almost all shelter homes in bihar, a tata institute of social sciences tiss report made public by bihar government stated. as per the report, muzaffarpur shelter home had been ""running in a highly questionable manner...with...instances of violence"". police later confirmed that 34 girls were raped at the statefunded shelter home.",disgust,"sexual abuse prevalent in almost all shelter homes in bihar, tata institute of social sciences report says."
mistakenlyauctioned bag from 1st moon landing to be resold,"a bag that brought lunar dust samples to earth from the firstever moon landing has been put up for auction by its owner nancy carlson. earlier, the bag was mixedup with other samples and was auctioned off for 995 to carlson. the artefact, expected to fetch 24 million, will be auctioned on the 48th anniversary of the apollo 11 landing.",surprise,bag brought lunar dust samples to earth from first moon landing put up for auction.
"jk govt withdraws order asking schools to have gita, ramayana","jammu and kashmir government on tuesday withdrew its order asking schools, colleges and public libraries in the state to have copies of urdu version of gita and koshur ramayana. the order, which was issued after a meeting chaired by state governor's advisor bb vyas, reportedly led to a controversy, with people questioning why religious texts from other religions were ignored.",sadness,"jammu and kashmir government withdrew order asking schools, colleges and public libraries to have copies of urdu version."
